,sid,When,NAICS,Alberta,British_Columbia,Canada,Manitoba,New_Brunswick,Newfoundland_And_Labrador,Nova_Scotia,Ontario,Prince_Edward_Island,Quebec,Saskatchewan
0,5554,2001-01-01T00:00:00,Industrial aggregate excluding unclassified businesses,670.54,660.48,658.02,578.95,584.75,594.0,571.28,698.57,535.65,624.81,596.53
1,5555,2001-02-01T00:00:00,Industrial aggregate excluding unclassified businesses,670.52,659.33,655.79,580.63,585.11,591.92,570.06,693.69,532.02,623.93,595.09
2,5556,2001-03-01T00:00:00,Industrial aggregate excluding unclassified businesses,668.49,654.07,655.88,578.67,584.13,593.47,570.7,697.08,534.71,622.94,589.09
3,5557,2001-04-01T00:00:00,Industrial aggregate excluding unclassified businesses,671.71,657.15,654.09,576.36,580.92,591.96,568.7,693.73,522.5,619.12,589.37
4,5558,2001-05-01T00:00:00,Industrial aggregate excluding unclassified businesses,664.45,653.23,650.02,571.84,578.44,588.19,567.96,688.27,522.31,618.9,587.41
5,5559,2001-06-01T00:00:00,Industrial aggregate excluding unclassified businesses,675.72,661.49,658.06,588.66,582.79,591.85,576.42,697.37,529.47,623.5,597.65
6,5560,2001-07-01T00:00:00,Industrial aggregate excluding unclassified businesses,672.96,655.63,655.38,586.31,580.57,590.91,576.16,696.65,509.55,619.98,590.31
7,5561,2001-08-01T00:00:00,Industrial aggregate excluding unclassified businesses,673.6,653.55,655.54,592.32,602.85,593.53,579.54,691.09,534.47,625.05,598.63
8,5562,2001-09-01T00:00:00,Industrial aggregate excluding unclassified businesses,692.18,659.15,660.5,587.73,594.41,600.95,576.75,699.48,531.89,622.17,600.95
9,5563,2001-10-01T00:00:00,Industrial aggregate excluding unclassified businesses,693.13,664.43,661.11,587.39,595.74,596.49,582.77,697.06,535.24,623.8,603.69
10,5564,2001-11-01T00:00:00,Industrial aggregate excluding unclassified businesses,675.8,655.07,659.65,586.56,598.11,585.27,583.15,701.04,535.62,625.83,590.9
11,5565,2001-12-01T00:00:00,Industrial aggregate excluding unclassified businesses,674.09,658.72,661.38,593.03,602.37,594.03,594.16,697.61,559.8,631.09,605.77
12,5566,2002-01-01T00:00:00,Industrial aggregate excluding unclassified businesses,683.11,655.56,664.21,589.62,599.19,599.19,591.75,698.73,562.6,638.98,604.17
13,5567,2002-02-01T00:00:00,Industrial aggregate excluding unclassified businesses,688.54,665.24,662.65,594.31,596.29,590.37,586.6,699.15,551.04,625.51,599.27
14,5568,2002-03-01T00:00:00,Industrial aggregate excluding unclassified businesses,692.57,676.82,666.93,597.55,601.49,600.05,589.95,703.71,565.53,625.05,605.13
15,5569,2002-04-01T00:00:00,Industrial aggregate excluding unclassified businesses,695.96,679.44,674.6,601.36,604.18,604.78,595.2,711.85,558.95,638.81,611.67
16,5570,2002-05-01T00:00:00,Industrial aggregate excluding unclassified businesses,680.85,666.55,669.81,597.94,603.29,611.06,598.47,706.47,560.3,643.68,598.18
17,5571,2002-06-01T00:00:00,Industrial aggregate excluding unclassified businesses,693.46,667.02,671.76,602.12,604.21,607.08,601.48,711.41,562.65,637.1,603.64
18,5572,2002-07-01T00:00:00,Industrial aggregate excluding unclassified businesses,694.92,671.04,675.49,607.44,604.91,607.55,604.48,716.17,540.74,640.26,610.15
19,5573,2002-08-01T00:00:00,Industrial aggregate excluding unclassified businesses,684.47,661.43,668.37,603.27,598.43,604.04,593.0,707.61,541.0,637.98,601.88
20,5574,2002-09-01T00:00:00,Industrial aggregate excluding unclassified businesses,696.89,676.77,674.85,604.2,602.88,612.71,591.76,715.92,549.76,635.0,614.12
21,5575,2002-10-01T00:00:00,Industrial aggregate excluding unclassified businesses,694.75,666.65,679.36,604.21,614.14,618.29,598.8,718.94,557.49,653.22,610.46
22,5576,2002-11-01T00:00:00,Industrial aggregate excluding unclassified businesses,702.92,682.7,680.13,619.95,609.87,622.08,598.29,719.97,565.05,638.4,619.96
23,5577,2002-12-01T00:00:00,Industrial aggregate excluding unclassified businesses,704.6,687.48,686.19,624.44,611.5,629.78,609.86,722.11,578.68,652.01,628.34
24,5578,2003-01-01T00:00:00,Industrial aggregate excluding unclassified businesses,703.22,680.11,681.49,617.27,612.6,624.96,607.06,716.52,575.74,647.76,622.08
25,5579,2003-02-01T00:00:00,Industrial aggregate excluding unclassified businesses,721.01,690.65,690.54,618.41,614.48,636.75,607.21,728.11,575.82,651.18,632.02
